crypto_id,crypto_name,last_value,last_closing_value,starting_range_value,ending_range_value,5_Day,1_Month,3_Month,1_Year,YTD
CRVEUR,Curve DAO Token EUR,3.289,3.045,2.92,3.289,-14.92,-6.08,83.85,,
CRVUSD,Curve DAO Token USD,3.719,3.439,3.296,3.719,-15.07,-7.12,77.10,566.49,489.38
DAIEUR,Dai EUR,0.8866,0.8845,0.884,0.8866,0.05,1.38,4.70,,
DAIUSD,Dai USD,1.0,1.0001,0.9999,1.0002,0.00,-0.02,0.03,-0.42,-0.33
MANAEUR,Decentraland EUR,3.0629,2.9537,2.8086,3.0629,-12.46,8.30,347.18,,
MANAUSD,Decentraland USD,3.4551,3.3403,3.1687,3.4551,-12.59,6.83,328.56,,"4,306.40"
DASHEUR,DigitalCash EUR,125.73,120.72,116.0,125.73,-15.88,-34.99,-22.31,60.87,54.78
DASHUSD,DigitalCash USD,141.52,136.05,131.07,141.52,-15.88,-35.99,-25.95,50.03,42.52
DOGEEUR,Dogecoin EUR,0.1504,0.148,0.1429,0.1504,-15.40,-33.57,-26.01,,
DOGEUSD,Dogecoin USD,0.17,0.1674,0.1615,0.17,-15.21,-34.33,-29.17,"5,388.51","3,528.82"
EWTEUR,Energy Web Token EUR,9.158,8.972,8.6,9.158,-23.46,7.35,3.13,,
EWTUSD,Energy Web Token USD,10.35,10.134,9.731,10.35,-22.56,5.84,-1.31,,
ENJEUR,Enjin EUR,2.275,2.232,2.096,2.275,-17.60,-14.22,63.32,,
ENJUSD,Enjin USD,2.565,2.518,2.37,2.565,-17.79,-15.26,55.74,,
MLNEUR,Enzyme Finance EUR,82.25,73.35,70.93,82.25,-4.81,-27.24,-7.31,,
MLNUSD,Enzyme Finance USD,93.48,83.76,80.59,93.48,-4.25,-27.76,-11.44,207.90,254.13
EOSEUR,EOS EUR,3.1524,2.7693,2.65,3.1524,-6.96,-25.52,-19.02,,
EOSUSD,EOS USD,3.569,3.1265,2.9936,3.569,-6.63,-26.34,-22.13,32.47,38.04
ETCEUR,Ethereum Classic EUR,33.886,33.03,31.536,33.886,-15.45,-29.93,-29.32,596.96,634.74
ETCUSD,Ethereum Classic USD,38.275,37.455,35.688,38.275,-15.46,-31.02,-32.14,551.27,580.93
ETHEUR,Ethereum EUR,3629.99,3537.86,3395.01,3629.99,-2.94,-10.78,31.83,699.54,500.63
ETHUSD,Ethereum USD,4097.91,3999.61,3838.01,4097.91,-2.86,-11.97,26.05,645.83,454.46
FILEUR,Filecoin EUR,34.444,35.658,34.379,36.445,-22.37,-37.29,-49.80,,
FILUSD,Filecoin USD,39.031,40.362,38.744,41.167,-21.87,-37.77,-51.86,30.59,60.56
FLOWEUR,Flow EUR,8.422,7.825,7.748,8.422,-17.74,-24.98,-50.84,,
FLOWUSD,Flow USD,9.502,8.825,8.733,9.502,-17.99,-25.78,-53.28,,
GNOEUR,Gnosis EUR,407.94,378.67,362.4,407.94,9.32,-0.46,75.14,,
GNOUSD,Gnosis USD,447.84,430.44,407.61,447.84,5.73,-4.48,62.70,652.55,479.28
ICXEUR,ICON EUR,1.0646,1.0394,1.0,1.0646,-25.98,-44.22,-29.59,,
ICXUSD,ICON USD,1.2024,1.1825,1.13,1.2024,-25.73,-44.84,-32.34,232.15,158.58
